country,Happiness_2021,GEI_2021
Finland,7.842,0.861
Denmark,7.62,0.768
Switzerland,7.571,0.798
Iceland,7.554,0.892
Netherlands,7.464,0.762
Norway,7.392,0.849
Sweden,7.363,0.823
Luxembourg,7.324,0.726
New Zealand,7.277,0.84
Austria,7.268,0.777
Australia,7.183,0.731
Israel,7.157,0.724
Germany,7.155,0.796
Canada,7.103,0.772
Ireland,7.085,0.8
Costa Rica,7.069,0.786
United Kingdom,7.064,0.775
Czech Republic,6.965,0.711
United States,6.951,0.763
Belgium,6.834,0.789
France,6.69,0.784
Bahrain,6.647,0.632
Malta,6.602,0.703
United Arab Emirates,6.561,0.716
Saudi Arabia,6.494,0.603
Spain,6.491,0.788
Italy,6.483,0.721
Slovenia,6.461,0.741
Guatemala,6.435,0.655
Uruguay,6.431,0.702
Singapore,6.377,0.727
Slovakia,6.331,0.712
Brazil,6.33,0.695
Mexico,6.317,0.757
Jamaica,6.309,0.741
Lithuania,6.255,0.804
Cyprus,6.223,0.707
Estonia,6.189,0.733
Panama,6.18,0.737
Chile,6.172,0.716
Poland,6.166,0.713
Kazakhstan,6.152,0.71
Romania,6.14,0.7
Kuwait,6.106,0.621
Serbia,6.078,0.78
El Salvador,6.061,0.738
Mauritius,6.049,0.679
Latvia,6.032,0.778
Colombia,6.012,0.725
Hungary,5.992,0.688
Thailand,5.985,0.71
Nicaragua,5.972,0.796
Japan,5.94,0.656
Argentina,5.929,0.752
Portugal,5.929,0.775
Honduras,5.919,0.716
Croatia,5.882,0.733
Philippines,5.88,0.784
South Korea,5.845,0.687
Peru,5.84,0.721
Bosnia and Herzegovina,5.813,0.713
Moldova,5.766,0.768
Ecuador,5.764,0.739
Kyrgyzstan,5.744,0.681
Greece,5.723,0.689
Bolivia,5.716,0.722
Mongolia,5.677,0.716
Paraguay,5.653,0.702
Montenegro,5.581,0.732
Dominican Republic,5.545,0.699
Belarus,5.534,0.758
Russia,5.477,0.708
Tajikistan,5.466,0.65
Vietnam,5.411,0.701
Malaysia,5.384,0.676
Indonesia,5.345,0.688
Republic of the Congo,5.342,0.576
China,5.339,0.682
Ivory Coast,5.306,0.637
Armenia,5.283,0.673
Nepal,5.269,0.683
Bulgaria,5.266,0.746
Maldives,5.198,0.642
Azerbaijan,5.171,0.688
Cameroon,5.142,0.692
Senegal,5.132,0.684
Albania,5.117,0.77
North Macedonia,5.101,0.715
Ghana,5.088,0.666
Niger,5.074,0.629
Gambia,5.051,0.644
Benin,5.045,0.653
Laos,5.03,0.75
Bangladesh,5.025,0.719
Guinea,4.984,0.66
South Africa,4.956,0.781
Turkey,4.948,0.638
Pakistan,4.934,0.556
Morocco,4.918,0.612
Venezuela,4.892,0.699
Georgia,4.891,0.732
Algeria,4.887,0.633
Ukraine,4.875,0.714
Iraq,4.854,0.535
Burkina Faso,4.834,0.651
Cambodia,4.83,0.684
Mozambique,4.794,0.758
Nigeria,4.759,0.627
Mali,4.723,0.591
Iran,4.721,0.582
Uganda,4.636,0.717
Liberia,4.625,0.693
Kenya,4.607,0.692
Tunisia,4.596,0.649
Lebanon,4.584,0.638
Namibia,4.574,0.809
Myanmar,4.426,0.681
Jordan,4.395,0.638
Chad,4.355,0.593
Sri Lanka,4.325,0.67
Eswatini,4.308,0.729
Egypt,4.283,0.639
Ethiopia,4.275,0.691
Mauritania,4.227,0.606
Madagascar,4.208,0.725
Togo,4.107,0.683
Zambia,4.073,0.726
Sierra Leone,3.849,0.655
India,3.819,0.625
Burundi,3.775,0.769
Yemen,3.658,0.492
Tanzania,3.623,0.707
Malawi,3.6,0.671
Lesotho,3.512,0.698
Botswana,3.467,0.716
Rwanda,3.415,0.805
Zimbabwe,3.145,0.732
Afghanistan,2.523,0.444