Country,Age Group,Out of School Rate (%)
World,Primary,11
World,Lower Secondary,13
World,Upper Secondary,27
Togo,Primary,8
Togo,Lower Secondary,12
Togo,Upper Secondary,30
India,Primary,6
India,Lower Secondary,7
India,Upper Secondary,23
Zambia,Primary,16
Zambia,Lower Secondary,23
Zambia,Upper Secondary,52
Malawi,Primary,6
Malawi,Lower Secondary,8
Malawi,Upper Secondary,29
Sierra Leone,Primary,17
Sierra Leone,Lower Secondary,19
Sierra Leone,Upper Secondary,36
Lesotho,Primary,3
Lesotho,Lower Secondary,14
Lesotho,Upper Secondary,36
Botswana,Primary,1
Botswana,Lower Secondary,4
Botswana,Upper Secondary,32
Rwanda,Primary,6
Rwanda,Lower Secondary,26
Rwanda,Upper Secondary,59
Zimbabwe,Primary,5
Zimbabwe,Lower Secondary,19
Zimbabwe,Upper Secondary,51
Afghanistan,Primary,37
Afghanistan,Lower Secondary,40
Afghanistan,Upper Secondary,58